"Brewery_ID","BeerName","Beer_ID","ABV","IBU","Style","Ounces"
67,"Rye Wit",2522,0.042,10,"Witbier",12
67,"Soul Doubt",2521,0.059,70,"American IPA",12
67,"Yo Soy Un Berliner",2520,0.044,5,"Berliner Weissbier",12
68,"Bimini Twist",2519,0.07,82,"American IPA",12
69,"Farmer's Daughter Blonde",2516,0.051,17,"American Blonde Ale",16
69,"Pump House IPA",2515,0.055,45,"American IPA",16
69,"Vanilla Porter",2513,0.047,25,"American Porter",16
69,"Honey Rye",2512,0.058,18,"Rye Beer",16
70,"Long Leaf",2511,0.071,75,"American IPA",16
70,"Honey Badger Blonde",2510,0.047,19,"American Blonde Ale",16
70,"Porter (a/k/a Black Gold Porter)",2509,0.06,23,"American Porter",16
71,"Jalapeno Pale Ale",2508,0.055,45,"American Pale Ale (APA)",16
72,"Double Duckpin",2507,0.085,90,"American Double / Imperial IPA",12
72,"Old Pro",2506,0.042,10,"Gose",12
73,"Hop A-Peel",2503,0.075,115,"American Double / Imperial IPA",16
73,"Vanilla Java Porter",2502,0.055,12,"American Porter",16
73,"Dirty Blonde Ale",534,0.045,8,"American Blonde Ale",12
73,"Grand Circus IPA",528,0.05,62,"American IPA",12
73,"Atwater's Lager",527,0.05,12,"Munich Helles Lager",12
75,"Wobble",2497,0.063,69,"American IPA",16
75,"Night Cat",2246,0.058,43,"American Dark Wheat Ale",12
75,"Night Cat (2014)",1630,0.058,43,"American Dark Wheat Ale",12
75,"Dog Days Lager",1284,0.051,17,"Dortmunder / Export Lager",12
75,"Sidekick Extra Pale Ale",1121,0.051,36,"American Pale Ale (APA)",12
75,"Atom Smasher",1042,0.077,23,"Märzen / Oktoberfest",12
75,"Cane and Ebel",861,0.07,68,"American Strong Ale",12
76,"Harness the Winter",2410,0.072,87,"American IPA",12
76,"14° ESB",1902,0.056,32,"Extra Special / Strong Bitter (ESB)",12
76,"Bent Hop Golden IPA",1901,0.062,68,"American IPA",12
76,"Bent Paddle Black Ale",1261,0.06,34,"American Black Ale",12
76,"Venture Pils",1253,0.05,38,"German Pilsener",12
79,"Baby Daddy Session IPA",2486,0.047,35,"American IPA",12
80,"Saddle Bronc Brown Ale",2485,0.048,16,"American Brown Ale",12
80,"Bomber Mountain Amber Ale",2484,0.046,20,"American Amber / Red Ale",12
81,"Totally Radler",2482,0.027,21,"Radler",16
81,"Nonstop Hef Hop",2400,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2399,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2398,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2397,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2396,0.039,20,"American Pale Wheat Ale",16
